buscar,捜
fideos,麺
cuero,革
zapatos,靴
hegemonía,覇
voz,声
ceja,眉
dar,呉
diversión,娯
error,誤
vaho,蒸
consentir,承
cajón,函
polos,極
colmillo,牙
germinar,芽
infame,邪
elegante,雅
interpretar,釈
turno,番
vista,審
voltear,翻
clan,藩
pelaje,毛
gastar,耗
cola de animal,尾
domicilio,宅
consignar,託
hacer,為
falsedad,偽
escrupuloso,畏
largo,長
alargar,張
cuaderno de apuntes,帳
dilatar,脹
pelo,髪
desarrollar,展
luto,喪
nido,巣
simple,単
guerra,戦
zen,禅
bala,弾
cerezo,桜
animal,獣
cerebro,脳
inquietud,悩
severo,厳
cadena,鎖
alzar,挙
reputación,誉
cacería,猟
pájaro,鳥
piar,鳴
grulla,鶴
cuervo,烏
parra,蔦
gallina,鶏
paloma,鳩
isla,島
calidez,暖
bella mujer,媛
socorro,援
flojear,緩
pertenecer,属
encomendar,嘱
por casualidad,偶
entrevista,遇
alocado,愚
esquina,隅
invertido,逆
modelar,塑
remontar el curso,遡
Monte,岡
acero,鋼
soga,綱
vigoroso,剛
lata,缶
alfarería,陶
mecerse,揺
canción de nō,謡
depresivo,鬱
concerniente a,就
patada,蹴
sociable,懇
roturar,墾
semblante,貌
excusarse,免
eludir,逸
crepúsculo,晩
ejercer,勉
elefante,象
estatua,像
caballo,馬
potro,駒
verificación,験
ecuestre,騎
aparcar,駐
conducir,駆
estación,駅
alboroto,騒
oneroso,駄
asombro,驚
ferviente,篤
insulto,罵
inflación,騰
tigre,虎
cautivo,虜
dermis,膚
vacuo,虚
jolgorio,戯
desasosiego,虞
prudencia,慮
drama,劇
opresión,虐
ciervo,鹿
falda de la montaña,麓
recomendar,薦
jubilación,慶
hermoso,麗
oso,熊
capaz,能
actitud,態
signo del tigre,寅
actuación,演
signo del dragón,辰
avergonzar,辱
seísmo,震
agitar,振
encinta,娠
labios,唇
agricultura,農
concentrado,濃
enviar,送
relación,関
floración,咲
ogro,鬼
feo,醜
alma,魂
bruja,魔
fascinación,魅
masa informe,塊
atacar,襲
regañar,嚇
plural mayestático,朕
atmósfera,雰
una unidad,箇
templar,錬
acatar,遵
renunciar,罷
cuartel,屯
además,且
alga,藻
esclavo,隷
curar,癒
sello imperial,璽
laguna,潟
cinabrio,丹
signo del buey,丑
humillar,羞
signo del conejo,卯
signo de la serpiente,巳
